"","identifier","text"
"32","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.3.2","hic autem ito fio debeo ut habeo ratio firmitas utilitas venustas firmitas sum habeo ratio cum sum fundamentum ad solidus depressio quisque ex materio copia sinum avaritia diligens electio utilitas autem cum sum emendo et sinum impeditio utor locus dispositio et ad regio sui quisque genus aptus et commodus distributio venustas verus cum sum opus species gratus et elego membrum commetior justus habeo symmetria ratiocinatio"
"33","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.4.1","in ipse verus moenia is sum principium primus electio locus saluber is autem sum excello et non nebulosus non pruinosus regio caelum specto neque aestuosus neque frigidus sed tempero deinde si vito paluster vicinitas cum enim aura matutinus cum sol orior ad oppidum pervenio et hic orior nebula adjungo spiritus bestia paluster veneno cum nebula misceo in habito corpus flo spargo efficio locus pestilens ito si sequor mas sum moenia specto ad meridies aut occido non sum saluber qui per aestas caelum meridianus sol exorior calesco meridies ardeo ito qui specto ad occido sol exorior tepesco meridies calo vesper fervo"
"34","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.4.2","igitur mutatio calor et refrigeratio corpus qui in hic locus sum vitio hic autem licet animadverto etiam ex is qui non sum animalis in cella enim vinarius tego lumen nemo capio ab meridies neque ab occido sed ab septentriones qui is regio nullus tempus mutatio recipio sed sum firmus perpetuus et immutabilis ideo etiam is granaria qui ad solum curro specto bonitas cito muto obsonium et pomum qui non in is pars caelum pono qui sum averto ab solum curro non diu servo"
"35","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.4.3","nam semper calor cum excoquo ex res firmitas et vapor fervidus eripio exsugo naturalis virtus dissolvo is et fervor mollesco efficio imbecillus ut etiam in ferrum animadverto qui quivis natura sum durus in fornacibus ab ignis vapor percalefacio ito mollesco utor in omnis genus formus facilis fabrico et idem cum mollis et candeo refrigero tinctus frigidus reduresco et restituo in antiquus proprietas"
"36","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.4.4","licet etiam considero hic ito sum ex is qui aestas non solus in pestilens locus sed etiam in saluber omnis corpus calor fio imbecillus et per hiems etiam qui pestilens sum regio efficio saluber ideo qui ab refrigeratio solido non parvus etiam qui ab frigidus regio corpus traduco in calidus non possum duro sed dissolvo qui autem ex calidus locus sub septentriones regio frigidus non modus non laboro immutatio locus valetudo sed etiam confirmo"
"37","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.4.5","quare caveo sum video in moenia con-loco ab is regio qui calor flo ad corpus homo possum spargo nam ex principium qui graeci στοιχεῖα appello ut omnis corpus sum compono is sum ex calor et umor terrenus et aer et ito mixtionibus naturalis tempero figuro omnis animalis in mundus generatim qualitas"
"38","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.4.6","ergo in quivis corpus cum exsupero ex principium calor tunc interficio dissolvo ceter fervor hic autem vitium efficio fervidus ab certus pars caelum cum insido in aperio vena multus qui patior ex mixtionibus naturalis tempero corpus ito si umor occupo corpus vena impar is facio ceter principium liquidus corrumpo diluo et dissolvo compositio virtus ito hic ex refrigeratio umor venio et aura infundo vitium corpus non parvus aer etiam terrenus in corpus naturalis compositio augeo aut minuo infirmo ceter principium terrenus cibus plenitas aer gravitas caelum"
"39","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.4.7","sed si qui volo diligens hic sensus percipio animadverto attendo natura avius et piscis et terrestris animalis et ito considero discrimen tempero alius enim mixtionem habeo genus avius alius piscis longus aliter terrestris natura volucris parvus habeo terrenus parvus umor calor tempero aer multus igitur levis principium compono facilis in aer impetus nitor aquatilis autem piscis natura qui tempero sum ab calidus multus ex aer et terrenus principium sum compono sed umor habeo oppidum qui paulum qui parvus habeo ex principium umor in corpus facilis in umor perduro ito cum ad terra perduco anima cum aqua relinquo ito terrestris qui ex principium ab aer calor sum tempero parvus habeo terrenus multus umor qui abundo umidus pars non diu possum in aqua vita tueor"
"40","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.4.8","ergo si hic ito video quemadmodum propono et ex principium animalis corpus compono sensus percipio et ex superatio aut defectio is laboro dissolvo judico non dubito quin diligens quaero oportet utor tempero caelum regio eligo cum quaero sum in moenia collocatio salubritas"
"41","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.4.9","ito etiam atque etiam vetus revoco censeo ratio magnus enim pecus immolo qui pasco in is locus qui aut oppidum aut castro stativa constituo inspicio iocinera et si sum lividus et vitiosus primus alius immolo dubito uter morbus an pabulum vitium laedo sum cum multus experior sum et probo integer et solidus natura jocinor ex aqua et pabulum ibi constituo munitio si autem vitiosus invenio judicium transfero ito humanus corpus pestilens sum nascor in hic locus aqua cibus copia et ito transmigro et muto regio quaero omnis res salubritas"
